id,collective,is_filled,collection_id
65de5ade1074b2d59247fcfb,Pride of the Western Plain,False,665548559e40f4a15950265c
65fc86250634dac32b636ee8,Red Sea Rising,False,66554856c13bfc6c18c567b5
65fcd47477cb4fd35cd0f012,Pride of A&T,False,66554857b4446522ba664050
65fd2c65fc70857275d12b05,❖ SANIL UI ,False,66554858b563e6c2fc5dc6c6
65fd41c83445af02418a4be8,Let's Go Tyges,False,665548582ebeb522dc42c36b
65fe1af911b1b5b2141dd66a,Pride of ODU,False,66554859384f8bc827624fad
661d063f98e4fc4199f2d6a1,605 Collective,False,6655485a4f3022958a18a228
661d066d0f32ba29f2269f63,The Regiment,False,6655485a6ca4f90efd19e8c8
661d06f31b1cef05969ec96e,Strive on Cats,False,6655485bb5b6faa533ac840b
661f9ff6a89bfb379cd28df8,Pride of Omaha,False,6655485c7a8fe683824e23c6
6622dcf93782a3181377dffd,Roll the Quad,False,6655485de9314ee4b33114bd
662327ce5112ac4b637ae86a,Hawk Hill Alliance,False,6655485db89b75ce9bc4e2e2
66241d1a4b185dd373b21f41,Crimson and Cream,False,6655485e7e64043f04fedeb3
662420ced784931f4846f14e,Magic City Impact,False,6655485ee9314ee4b331187d
66275da6ba5f7209069e47da,The Tech Way,False,6655485f7a8fe683824e2683
6627632632e8d89d670ab6d3,Anchor Impact,False,665548607a8fe683824e26e3
662763a5e8ac1ba6d460b80b,Knights of Raritan,False,66554860af0250ffac8cb218
662763fdda5b97ea66493ea5,Orange United,False,66554861b563e6c2fc5dd088
66294c7e26250ec3a2c67e14,TIGMA,False,66554861aef28ecf2b38f9a1
66294c7ebbbf2ed08cfc41f7,Pride of Little Egypt,False,66554862ee0f4edce095f0f5
664036de9de836b3d612da7c,Bear Pride Collective,False,66554863d197a48e06a0519a
6640379d6f00347c09ac7a11,Heart of a Lope,False,66554863d197a48e06a051db
6644e551e7c65e61e1cb9dff,Lance Up Collective,False,665548645b606d799d481cc7
6644eac316ec0262357d4246,Magis Lions,False,66554864b89b75ce9bc4ea42
6644ebb76f576b9035e5a777,Rainbow Collective,False,665548657e64043f04fee6dc
6644ec38bccb7fbb9e5bbac8,Raise the Riv,False,665548684927a2b0041e9304
6644ed89f038aab9da0220da,The Mission NIL ,False,6655486a639dce63d8380e6f
6644ee9b1589bd98e7874e90,Dragon Fire Collective,False,6655486a4927a2b0041e94e0
6644ef847c5c8b249d67785c,Blue Hen Collective,False,6655486bc13bfc6c18c57e8b
6644f045e88f030d0d5ed043,Explorers United,False,6655486b4927a2b0041e958e
66450b010dba5b8886665992,Fly Hawks Alliance,False,6655486c4927a2b0041e96a8
66450b8d23b89e279c4645d3,For the Peayple,False,6655486db89b75ce9bc4f7ac
66450bf8d7f54aea95d39df7,Blue & Gold Legacy,False,6655486d5b606d799d4828db
66450c5fa43cb494d0fe4aa1,The Chicago Collective,False,6655486ee9314ee4b3312fe7
66450cf715a3135f53d3c1b0,Heart of A Tiger,False,6655486faf0250ffac8cc37e
66450d5d9f64f0874187ddc0,Vikings Unite,False,66554870b4446522ba66661d
66450e0fa5486dad9a6ba0bd,Boneyard Victor E,False,66554870af0250ffac8cc482
66450ea3695d5e6064dcefff,Crossroad of Champions,False,66554871af0250ffac8cc535
66450f5312bdfdca00b2c21d,Dons For Fort Wayne,False,66554871d197a48e06a06121
66450ffea986830cf1d858e7,Excellence Through Service,False,66554872d197a48e06a061b9
664511b0d418f3e6ce8262b5,The 13 Collective,False,66554873751856ff6d61685a
664512202f87654d01e7b2c7,Turnpike United,False,66554873b2e1de2ff5eb541b
6645129999b20dcec36decae,Goh Collective,False,665548757e64043f04fefc50
66451318e192089047e024d3,Red and Blue Collective,False,66554875752d27c23cd2496f
6645138995be274a176ddfe5,RoMo Rise,False,66554876ee0f4edce0960865
664514a275ba9f590ef9497d,Tupper's Kennel,False,66554877b4446522ba666d51
6645151eb9382b96682cbc4d,Old Black & Gold,False,665548770291077cfc9f1a8b
66451598b7694ec65a916d81,New River City Collective,False,66554878af0250ffac8ccd16
